,asp,slope,int
726,0.413159312,0.000704456,0.588206114
727,0.410477268,0.000634164,0.579991871
728,0.473149456,0.000372489,0.685843048
729,0.431811617,0.000548255,0.616717761
730,0.467011042,0.000476504,0.68849136
731,0.473072716,0.000449637,0.69197264
732,0.461813096,0.000506238,0.66401341
733,0.421891302,0.000453959,0.609174221
734,0.448413351,0.000415016,0.634514402
735,0.431476308,0.00062414,0.62153252
736,0.499355799,0.000432644,0.743412812
737,0.438810476,0.000499134,0.637598804
738,0.440577249,0.000477313,0.632869129
739,0.446570347,0.000418621,0.645316202
740,0.377184803,0.000682214,0.526350305
741,0.441770994,0.000522524,0.635977552
742,0.457031658,0.000452868,0.667074909
743,0.450697625,0.000424576,0.654991252
744,0.459178731,0.000519695,0.654707041
745,0.414941462,0.000591681,0.583709727
746,0.452036004,0.000422469,0.657426187
747,0.421802704,0.000611868,0.60217939
748,0.473914965,0.000254854,0.677871138
749,0.511931273,0.000355678,0.765284301
750,0.475574087,0.0001965,0.674777008
751,0.446557692,0.000479394,0.637174156
752,0.433485453,0.000562767,0.618552334
753,0.458931023,0.000478904,0.664674197
754,0.453878152,0.000418672,0.654805506
755,0.441183213,0.000467618,0.645433685
756,0.473239621,0.000381374,0.690782931
757,0.395391809,0.00067247,0.564768212
758,0.485545526,0.000331649,0.718596893
759,0.48289581,0.000371389,0.70269405
760,0.432845649,0.000257357,0.600535571
761,0.470935965,0.000344223,0.666417077
762,0.475077111,0.000379346,0.688109214
763,0.463080998,0.000355938,0.662855137
764,0.419822617,0.000542367,0.590211762
765,0.427006697,0.000492316,0.604439916
766,0.414880012,0.000547237,0.587679816
767,0.438544049,0.000457965,0.626267179
768,0.454203121,0.000400021,0.642437788
769,0.440942711,0.000526244,0.640791996
770,0.418699426,0.000571514,0.610081504
771,0.499622604,0.000448677,0.747171499
772,0.549224417,0.000223867,0.829031813
773,0.476125733,1.00E-04,0.663846494
774,0.438430212,0.000450543,0.622956658
775,0.465206172,0.000391953,0.668964318
776,0.479074286,0.000407534,0.70167655
777,0.481379315,0.000473566,0.709250461
778,0.408479073,0.000667941,0.592512795
779,0.450293004,0.000477985,0.649155513
780,0.451014511,0.000332914,0.639234115
781,0.471986307,0.000465269,0.685719502
782,0.35425505,0.00016651,0.466962926
783,0.440944287,0.000577792,0.644189627
784,0.461727754,0.000360569,0.65786378
785,0.43553564,0.00057856,0.639396174
786,0.456317986,0.00055844,0.665644166
787,0.46153265,0.000514567,0.687582643
788,0.434351603,0.000551821,0.633094474
789,0.427181895,0.00057896,0.61718283
790,0.434993087,0.000349899,0.615538635
791,0.418986626,0.000624024,0.599879199
792,0.386935976,0.000785726,0.555238796
793,0.48130024,0.000450438,0.722116525
794,0.468766992,0.000455237,0.675796917
795,0.470930146,0.00029454,0.687194184
796,0.483227042,0.000220681,0.696832943
797,0.42802197,0.000553358,0.608542525
798,0.452536328,0.000582814,0.6659775
799,0.440167321,0.000559816,0.638559124
800,0.461960051,0.000501552,0.679044479
801,0.465450734,0.000454376,0.67986597
802,0.457248372,0.000454082,0.668561297
803,0.492394927,0.000353927,0.729516042
